ARQUIVO,VALOR,DESCRICAO,CLASSIFICACAO,MOTIVO_ERRO
00000127-PHOTO-2025-05-18-19-01-51.jpg,,Pagamento,Pagamento,
00000066-PHOTO-2025-05-04-11-11-20.jpg,,Pagamento,Transferência,
00000085-PHOTO-2025-05-07-18-56-37.jpg,,Pagamento,Transferência,
00000079-PHOTO-2025-05-06-10-57-45.jpg,,Pagamento,Transferência,
00000028-PHOTO-2025-04-22-08-15-25.jpg,,Pagamento,Transferência,
00000202-PHOTO-2025-07-01-20-27-38.jpg,,Pagamento,Pagamento,
00000112-PHOTO-2025-05-15-13-54-26.jpg,,Pagamento,Transferência,
00000058-PHOTO-2025-04-25-18-31-03.jpg,,Pagamento,Pagamento,
00000071-PHOTO-2025-05-05-08-19-19.jpg,,Pagamento,Pagamento,
00000217-PHOTO-2025-07-13-18-08-13.jpg,,Pagamento,Pagamento,
00000021-PHOTO-2025-04-21-18-33-23.jpg,,Pagamento,Transferência,
00000072-PHOTO-2025-05-05-14-34-29.jpg,,Pagamento,Transferência,
00000007-PHOTO-2025-04-19-08-14-40.jpg,,Pagamento,Transferência,
00000165-PHOTO-2025-06-04-10-26-54.jpg,,Pagamento,Pagamento,
00000098-PHOTO-2025-05-11-19-36-14.jpg,,Pagamento,Pagamento,
00000161-PHOTO-2025-06-02-14-40-12.jpg,,Pagamento,Transferência,
00000132-PHOTO-2025-05-19-18-52-48.jpg,,Pagamento,Transferência,
00000082-PHOTO-2025-05-06-18-22-11.jpg,,Pagamento,Pagamento,
00000030-PHOTO-2025-04-22-08-41-29.jpg,,Pagamento,Transferência,
00000181-PHOTO-2025-06-14-15-14-47.jpg,,Pagamento,Transferência,
00000005-PHOTO-2025-04-18-12-45-52.jpg,,Pagamento,Transferência,
00000008-PHOTO-2025-04-21-11-16-15.jpg,,Pagamento,Transferência,
00000088-PHOTO-2025-05-08-15-46-22.jpg,,Pagamento,Pagamento,
00000208-PHOTO-2025-07-12-16-28-32.jpg,,Pagamento,Transferência,
00000021-PHOTO-2025-04-21-18-33-22.jpg,,Pagamento,Transferência,
00000113-PHOTO-2025-05-15-14-00-50.jpg,,Pagamento,Pagamento,
00000006-PHOTO-2025-04-19-08-14-39.jpg,,Pagamento,Transferência,
00000154-PHOTO-2025-05-29-13-55-16.jpg,,Pagamento,Pagamento,
00000102-PHOTO-2025-05-13-12-45-43.jpg,,Pagamento,Pagamento,
00000043-PHOTO-2025-04-24-09-16-01.jpg,,Pagamento,Pagamento,
00000182-PHOTO-2025-06-14-15-15-11.jpg,,Pagamento,Pagamento,
00000030-PHOTO-2025-04-22-08-41-30.jpg,,Pagamento,Transferência,
00000096-PHOTO-2025-05-10-18-15-17.jpg,,Pagamento,Pagamento,
00000046-PHOTO-2025-04-24-19-06-29.jpg,,Pagamento,Pagamento,
00000059-PHOTO-2025-04-29-19-56-20.jpg,,,,Imagem ilegível ou em branco
00000006-PHOTO-2025-04-18-12-45-53.jpg,,Pagamento,Transferência,
00000081-PHOTO-2025-05-06-17-55-18.jpg,,Pagamento,Transferência,
00000211-PHOTO-2025-07-12-18-19-11.jpg,,Pagamento,Pagamento,
00000142-PHOTO-2025-05-23-19-02-14.jpg,,Pagamento,Pagamento,
00000147-PHOTO-2025-05-27-13-05-26.jpg,,Pagamento,Transferência,
00000051-PHOTO-2025-04-24-21-11-55.jpg,,Pagamento,Transferência,
00000051-PHOTO-2025-04-24-21-11-54.jpg,,Pagamento,Transferência,
00000117-PHOTO-2025-05-16-19-08-08.jpg,,Pagamento,Pagamento,
00000186-PHOTO-2025-06-20-20-02-33.jpg,,,,Imagem ilegível ou em branco
00000119-PHOTO-2025-05-17-10-51-17.jpg,,Pagamento,Pagamento,
00000149-PHOTO-2025-05-27-21-42-25.jpg,,Pagamento,Transferência,
00000070-PHOTO-2025-05-04-18-19-33.jpg,,Pagamento,Pagamento,
00000050-PHOTO-2025-04-24-20-39-53.jpg,,Pagamento,Pagamento,
00000086-PHOTO-2025-05-08-15-45-32.jpg,,Pagamento,Transferência,
00000104-PHOTO-2025-05-13-19-24-23.jpg,,Pagamento,Pagamento,
00000035-PHOTO-2025-04-22-15-44-28.jpg,,Pagamento,Transferência,
00000153-PHOTO-2025-05-29-13-44-47.jpg,,Pagamento,Transferência,
00000033-PHOTO-2025-04-22-13-50-01.jpg,,Pagamento,Pagamento,
00000179-PHOTO-2025-06-11-18-55-04.jpg,,Pagamento,Pagamento,
00000033-PHOTO-2025-04-22-13-50-00.jpg,,Pagamento,Pagamento,
00000183-PHOTO-2025-06-20-16-39-02.jpg,,Pagamento,Transferência,
00000089-PHOTO-2025-05-09-09-01-57.jpg,,Pagamento,Transferência,
00000118-PHOTO-2025-05-17-10-47-17.jpg,,Pagamento,Transferência,
00000020-PHOTO-2025-04-21-13-50-59.jpg,,Pagamento,Pagamento,
00000101-PHOTO-2025-05-13-12-43-02.jpg,,Pagamento,Transferência,
00000108-PHOTO-2025-05-14-13-01-20.jpg,,Pagamento,Pagamento,
00000068-PHOTO-2025-05-04-11-23-13.jpg,,Pagamento,Pagamento,
00000080-PHOTO-2025-05-06-11-07-58.jpg,,Pagamento,Pagamento,
00000031-PHOTO-2025-04-22-08-49-19.jpg,,Pagamento,Pagamento,
00000041-PHOTO-2025-04-23-17-17-59.jpg,,,,Imagem ilegível ou em branco
00000052-PHOTO-2025-04-25-09-15-45.jpg,,Pagamento,Transferência,
00000038-PHOTO-2025-04-23-13-40-36.jpg,,Pagamento,Transferência,
00000203-PHOTO-2025-07-06-10-40-10.jpg,,Pagamento,Transferência,
00000049-PHOTO-2025-04-24-20-23-33.jpg,,Pagamento,Transferência,
00000175-PHOTO-2025-06-10-17-56-08.jpg,,Pagamento,Transferência,
00000041-PHOTO-2025-04-23-17-17-58.jpg,,,,Imagem ilegível ou em branco
00000185-PHOTO-2025-06-20-17-56-05.jpg,,Pagamento,Transferência,
00000156-PHOTO-2025-05-30-14-06-42.jpg,,Pagamento,Pagamento,
00000212-PHOTO-2025-07-12-18-19-56.jpg,,Pagamento,Pagamento,
00000207-Fatura de julho.pdf,,Pagamento,Transferência,
00000029-PHOTO-2025-04-22-08-21-11.jpg,,Pagamento,Pagamento,
00000099-PHOTO-2025-05-12-16-41-27.jpg,,Pagamento,Transferência,
00000194-PHOTO-2025-06-21-18-03-33.jpg,,Pagamento,Pagamento,
00000184-PHOTO-2025-06-20-16-42-15.jpg,,Pagamento,Transferência,
00000115-PHOTO-2025-05-16-14-32-10.jpg,,Pagamento,Transferência,
00000124-PHOTO-2025-05-18-14-08-14.jpg,,Pagamento,Pagamento,
00000140-PHOTO-2025-05-23-18-11-38.jpg,,Pagamento,Transferência,
00000146-PHOTO-2025-05-26-18-15-20.jpg,,Pagamento,Pagamento,
00000195-PHOTO-2025-06-25-13-24-27.jpg,,Pagamento,Transferência,
00000069-PHOTO-2025-05-04-17-59-25.jpg,,Pagamento,Transferência,
00000029-PHOTO-2025-04-22-08-21-10.jpg,,Pagamento,Pagamento,
00000095-PHOTO-2025-05-10-18-03-37.jpg,,Pagamento,Transferência,
00000145-PHOTO-2025-05-26-18-12-32.jpg,,Pagamento,Transferência,
00000036-PHOTO-2025-04-22-15-50-22.jpg,,Pagamento,Pagamento,
00000160-PHOTO-2025-06-02-09-58-11.jpg,,Pagamento,Pagamento,
00000192-PHOTO-2025-06-21-15-46-44.jpg,,Pagamento,Transferência,
00000065-PHOTO-2025-05-03-19-36-34.jpg,,Pagamento,Transferência,
00000019-PHOTO-2025-04-21-13-48-30.jpg,,Pagamento,Transferência,
00000022-PHOTO-2025-04-21-18-33-54.jpg,,,,Imagem ilegível ou em branco
00000016-PHOTO-2025-04-21-11-20-45.jpg,,Pagamento,Transferência,
00000111-PHOTO-2025-05-15-10-31-06.jpg,,Pagamento,Transferência,
00000092-PHOTO-2025-05-09-17-36-42.jpg,,Pagamento,Transferência,
00000210-PHOTO-2025-07-12-17-08-02.jpg,,Pagamento,Transferência,
00000178-PHOTO-2025-06-11-18-25-42.jpg,,Pagamento,Transferência,
00000198-PHOTO-2025-06-28-16-59-21.jpg,,Pagamento,Transferência,
00000016-PHOTO-2025-04-21-11-20-44.jpg,,Pagamento,Transferência,
00000209-PHOTO-2025-07-12-16-40-22.jpg,,Pagamento,Pagamento,
00000143-PHOTO-2025-05-26-09-25-30.jpg,,Pagamento,Transferência,
00000027-PHOTO-2025-04-21-18-52-10.jpg,,Pagamento,Transferência,
00000187-PHOTO-2025-06-21-13-21-10.jpg,,Pagamento,Transferência,
